HS Code,school_name,college_type,year,high_school_graduates,enrolled_in_alabama_public_colleges,enrolled_in_remedial_math,enrolled_in_remedial_english,enrolled_in_remedial_both,enrolled_in_remedial_total
340020,Abbeville High School,all,2023,48,19,4,0,1,5
340020,Abbeville High School,2YR,2023,48,9,1,0,0,1
340020,Abbeville High School,4YR,2023,48,10,3,0,1,4
8000010,Acceleration Day and Evening Academy,all,2023,91,13,1,0,3,4
8000010,Acceleration Day and Evening Academy,2YR,2023,91,13,1,0,3,4
8000010,Acceleration Day and Evening Academy,4YR,2023,91,0,0,0,0,0
670010,Addison High School,all,2023,44,20,1,0,1,2
670010,Addison High School,2YR,2023,44,16,1,0,1,2
670010,Addison High School,4YR,2023,44,4,0,0,0,0
420128,Alabama Connections Academy,all,2023,635,128,24,4,9,37
420128,Alabama Connections Academy,2YR,2023,635,81,13,3,7,23
420128,Alabama Connections Academy,4YR,2023,635,47,11,1,2,14
1210025,Alabama Destinations Career Academy,all,2023,43,12,3,1,0,4
1210025,Alabama Destinations Career Academy,2YR,2023,43,12,3,1,0,4
1210025,Alabama Destinations Career Academy,4YR,2023,43,0,0,0,0,0
1332060,Alabama Virtual Academy at Eufaula City,all,2023,163,28,2,1,2,5
1332060,Alabama Virtual Academy at Eufaula City,2YR,2023,163,16,0,1,2,3
1332060,Alabama Virtual Academy at Eufaula City,4YR,2023,163,12,2,0,0,2
520005,Albert P Brewer High School,all,2023,151,57,4,0,2,6
520005,Albert P Brewer High School,2YR,2023,151,38,1,0,0,1
520005,Albert P Brewer High School,4YR,2023,151,19,3,0,2,5
1010020,Albertville High School,all,2023,377,166,23,8,11,42
1010020,Albertville High School,2YR,2023,377,124,16,8,11,35
1010020,Albertville High School,4YR,2023,377,42,7,0,0,7
80010,Alexandria High School,all,2023,115,56,4,0,2,6
80010,Alexandria High School,2YR,2023,115,23,1,0,2,3
80010,Alexandria High School,4YR,2023,115,33,3,0,0,3
540020,Aliceville High School,all,2023,66,26,6,5,2,13
540020,Aliceville High School,2YR,2023,66,11,1,3,0,4
540020,Aliceville High School,4YR,2023,66,15,5,2,2,9
490136,Alma Bryant High School,all,2023,324,88,2,5,1,8
490136,Alma Bryant High School,2YR,2023,324,37,2,5,1,8
490136,Alma Bryant High School,4YR,2023,324,51,0,0,0,0
460010,Amelia L. Johnson High School,all,2023,17,5,0,0,0,0
460010,Amelia L. Johnson High School,2YR,2023,17,5,0,0,0,0
460010,Amelia L. Johnson High School,4YR,2023,17,0,0,0,0,0
1040010,Andalusia High School,all,2023,107,72,3,5,7,15
1040010,Andalusia High School,2YR,2023,107,48,2,5,5,12
1040010,Andalusia High School,4YR,2023,107,24,1,0,2,3
1050010,Anniston High School,all,2023,108,35,4,2,2,8
1050010,Anniston High School,2YR,2023,108,13,0,1,1,2
1050010,Anniston High School,4YR,2023,108,22,4,1,1,6
50020,Appalachian School,all,2023,45,27,5,1,1,7
50020,Appalachian School,2YR,2023,45,23,5,1,1,7
50020,Appalachian School,4YR,2023,45,4,0,0,0,0
1060020,Arab High School,all,2023,187,109,14,3,4,21
1060020,Arab High School,2YR,2023,187,63,9,2,3,14
1060020,Arab High School,4YR,2023,187,46,5,1,1,7
420010,Ardmore High School,all,2023,137,47,10,0,2,12
420010,Ardmore High School,2YR,2023,137,29,9,0,2,11
420010,Ardmore High School,4YR,2023,137,18,1,0,0,1
230010,Ariton School,all,2023,59,32,5,0,2,7
230010,Ariton School,2YR,2023,59,22,2,0,0,2
230010,Ariton School,4YR,2023,59,10,3,0,2,5
480030,Asbury High School,all,2023,80,25,7,2,1,10
480030,Asbury High School,2YR,2023,80,19,6,2,1,9
480030,Asbury High School,4YR,2023,80,6,1,0,0,1
350010,Ashford High School,all,2023,70,21,4,0,1,5
350010,Ashford High School,2YR,2023,70,13,1,0,0,1
350010,Ashford High School,4YR,2023,70,8,3,0,1,4
580010,Ashville High School,all,2023,63,26,3,1,1,5
580010,Ashville High School,2YR,2023,63,12,1,1,1,3
580010,Ashville High School,4YR,2023,63,14,2,0,0,2
1070030,Athens High School,all,2023,252,119,4,4,5,13
1070030,Athens High School,2YR,2023,252,49,4,2,5,11
1070030,Athens High School,4YR,2023,252,70,0,2,0,2
1070025,Athens Renaissance School,all,2023,74,31,2,0,1,3
1070025,Athens Renaissance School,2YR,2023,74,18,2,0,1,3
1070025,Athens Renaissance School,4YR,2023,74,13,0,0,0,0
1100010,Auburn High School,all,2023,696,377,22,6,17,45
1100010,Auburn High School,2YR,2023,696,118,16,6,11,33
1100010,Auburn High School,4YR,2023,696,259,6,0,6,12
1270010,Austin High School,all,2023,350,131,16,6,6,28
1270010,Austin High School,2YR,2023,350,61,8,5,5,18
1270010,Austin High School,4YR,2023,350,70,8,1,1,10
10015,Autaugaville School,all,2023,16,8,0,1,1,2
10015,Autaugaville School,2YR,2023,16,4,0,0,0,0
10015,Autaugaville School,4YR,2023,16,4,0,1,1,2
490100,Baker High School,all,2023,513,249,22,8,10,40
490100,Baker High School,2YR,2023,513,73,12,6,7,25
490100,Baker High School,4YR,2023,513,176,10,2,3,15
20005,Baldwin County High School,all,2023,223,96,12,3,6,21
20005,Baldwin County High School,2YR,2023,223,55,9,2,5,16
20005,Baldwin County High School,4YR,2023,223,41,3,1,1,5
20185,Baldwin County Virtual School,all,2023,107,37,4,1,0,5
20185,Baldwin County Virtual School,2YR,2023,107,18,4,1,0,5
20185,Baldwin County Virtual School,4YR,2023,107,19,0,0,0,0
30020,Barbour County High School,all,2023,30,14,2,0,1,3
30020,Barbour County High School,2YR,2023,30,11,2,0,0,2
30020,Barbour County High School,4YR,2023,30,3,0,0,1,1
610020,BB Comer Memorial High School,all,2023,40,20,7,3,1,11
610020,BB Comer Memorial High School,2YR,2023,40,11,3,2,0,5
610020,BB Comer Memorial High School,4YR,2023,40,9,4,1,1,6
1140025,BCS Virtual Academy of Learning,all,2023,34,5,0,0,2,2
1140025,BCS Virtual Academy of Learning,2YR,2023,34,2,0,0,1,1
1140025,BCS Virtual Academy of Learning,4YR,2023,34,3,0,0,1,1
410010,Beauregard High School,all,2023,110,43,4,3,1,8
410010,Beauregard High School,2YR,2023,110,26,1,3,0,4
410010,Beauregard High School,4YR,2023,110,17,3,0,1,4
300010,Belgreen High School,all,2023,28,12,0,0,2,2
300010,Belgreen High School,2YR,2023,28,9,0,0,2,2
300010,Belgreen High School,4YR,2023,28,3,0,0,0,0
490080,Ben C Rain High School,all,2023,104,22,1,0,1,2
490080,Ben C Rain High School,2YR,2023,104,7,1,0,0,1
490080,Ben C Rain High School,4YR,2023,104,15,0,0,1,1
1020020,Benjamin Russell High School,all,2023,174,88,16,3,8,27
1020020,Benjamin Russell High School,2YR,2023,174,40,7,1,2,10
1020020,Benjamin Russell High School,4YR,2023,174,48,9,2,6,17
290020,Berry High School,all,2023,29,16,3,1,1,5
290020,Berry High School,2YR,2023,29,13,3,0,1,4
290020,Berry High School,4YR,2023,29,3,0,1,0,1
1130080,Bessemer City High School,all,2023,166,54,8,4,5,17
1130080,Bessemer City High School,2YR,2023,166,26,3,0,2,5
1130080,Bessemer City High School,4YR,2023,166,28,5,4,3,12
410020,Beulah High School,all,2023,72,28,6,1,3,10
410020,Beulah High School,2YR,2023,72,21,5,1,1,7
410020,Beulah High School,4YR,2023,72,7,1,0,2,3
40010,Bibb County High School,all,2023,93,37,2,1,3,6
40010,Bibb County High School,2YR,2023,93,21,1,1,1,3
40010,Bibb County High School,4YR,2023,93,16,1,0,2,3
10040,Billingsley High School,all,2023,32,6,1,0,0,1
10040,Billingsley High School,2YR,2023,32,4,1,0,0,1
10040,Billingsley High School,4YR,2023,32,2,0,0,0,0
1150060,Boaz High School,all,2023,154,82,5,0,3,8
1150060,Boaz High School,2YR,2023,154,62,5,0,3,8
1150060,Boaz High School,4YR,2023,154,20,0,0,0,0
1690080,Bob Jones High School,all,2023,465,235,15,5,6,26
1690080,Bob Jones High School,2YR,2023,465,70,9,2,3,14
1690080,Bob Jones High School,4YR,2023,465,165,6,3,3,12
440010,Booker T Washington High,all,2023,107,47,13,3,6,22
440010,Booker T Washington High,2YR,2023,107,13,3,2,1,6
440010,Booker T Washington High,4YR,2023,107,34,10,1,5,16
510060,Booker T Washington Magnet High School,all,2023,92,51,4,0,1,5
510060,Booker T Washington Magnet High School,2YR,2023,92,2,0,0,1,1
510060,Booker T Washington Magnet High School,4YR,2023,92,49,4,0,0,4
210010,Brantley High School,all,2023,42,25,2,0,0,2
210010,Brantley High School,2YR,2023,42,15,1,0,0,1
